lesson_date,year,month,month_name,weekday,time_block,student_id,tutor_id,mode,duration_minutes,lesson_id,student_name,age_group,cefr_level,learning_goal,assigned_tutor_id,assigned_tutor_name,prep_profile,sibling_group_id,tutor_name,experience_level,hourly_rate,preferred_mode,home_area,status,prep_time_minutes,travel_time_minutes,platform,base_price,discount_type,final_price
01/09/2025,2025,9,September,Monday,15:00-16:00,59,4,in_person,45,1,pan Gustaw Panasiewicz,child,A1,school,4,pani Bianka Kolanko,high,7,pani Bianka Kolanko,senior,110,in_person,Warsaw,completed,15,30,in_person,82.5,sibling_discount,74.25
01/09/2025,2025,9,September,Monday,16:00-17:00,40,1,online,45,2,Fabian Zacharczuk,child,A2,school,1,Marcin Szymków,medium,,Marcin Szymków,senior,120,mixed,Warsaw,completed,10,0,Teams,90,none,90
01/09/2025,2025,9,September,Monday,16:00-17:00,45,1,online,90,3,Roksana Mordal,pre_teen,B1,school,1,Marcin Szymków,medium,,Marcin Szymków,senior,120,mixed,Warsaw,completed,10,0,Teams,180,long_lesson_discount,165.6
01/09/2025,2025,9,September,Monday,16:00-17:00,116,1,in_person,90,4,pani Olga Krzykała,pre_teen,B1,school,1,Marcin Szymków,medium,,Marcin Szymków,senior,120,mixed,Warsaw,completed,10,25,in_person,180,long_lesson_discount,165.6
01/09/2025,2025,9,September,Monday,16:00-17:00,122,1,in_person,60,5,Alex Czylok,teen,A2,school,1,Marcin Szymków,low,,Marcin Szymków,senior,120,mixed,Warsaw,completed,5,20,in_person,120,none,120
01/09/2025,2025,9,September,Monday,16:00-17:00,53,2,in_person,60,6,Maurycy Pryk,child,A1,school,2,pani Agnieszka Słomiany,medium,,pani Agnieszka Słomiany,mid,100,mixed,Warsaw,completed,15,15,in_person,100,none,100
01/09/2025,2025,9,September,Monday,16:00-17:00,120,2,in_person,60,7,Apolonia Kondej,pre_teen,A2,school,2,pani Agnieszka Słomiany,high,4,pani Agnieszka Słomiany,mid,100,mixed,Warsaw,completed,15,25,in_person,100,sibling_discount,90
01/09/2025,2025,9,September,Monday,16:00-17:00,16,4,in_person,45,8,pani Sara Męcik,child,A1,school,4,pani Bianka Kolanko,high,,pani Bianka Kolanko,senior,110,in_person,Warsaw,completed,15,20,in_person,82.5,none,82.5
01/09/2025,2025,9,September,Monday,16:00-17:00,81,4,in_person,45,9,Stanisław Strawa,child,A2,school,4,pani Bianka Kolanko,medium,,pani Bianka Kolanko,senior,110,in_person,Warsaw,completed,10,10,in_person,82.5,none,82.5
01/09/2025,2025,9,September,Monday,16:00-17:00,85,4,in_person,60,10,Marek Karwot,teen,A2,matura_basic,4,pani Bianka Kolanko,medium,,pani Bianka Kolanko,senior,110,in_person,Warsaw,cancelled_by_tutor,10,25,in_person,110,none,110
